fecha,precipitaciones,temperatura,humedad,consumo,evento
2020-11-16,0.0,20.0,80,652.98,
2020-11-17,,15.9,92,749.6,
2020-11-18,0.1,20.0,83,700.56,
2020-11-19,0.0,20.1,74,705.58,
2020-11-20,0.0,18.1,55,704.16,
2020-11-21,0.0,15.1,61,688.27,
2020-11-22,0.0,11.0,89,718.8,
2020-11-23,0.0,13.9,74,749.14,
2020-11-24,0.0,15.7,65,694.97,
2020-11-25,7.0,15.6,75,788.54,
2020-11-26,4.2,11.2,96,732.54,
2020-11-27,4.4,10.6,95,762.44,
2020-11-28,0.0,11.5,85,730.62,
2020-11-29,0.6,13.1,88,728.63,
2020-11-30,0.2,11.3,94,781.56,
2020-12-01,0.0,10.0,98,850.89,
2020-12-02,0.0,13.3,75,823.57,
2020-12-03,2.6,11.8,62,856.64,
2020-12-04,1.8,8.1,88,1044.27,
2020-12-05,0.0,6.1,79,1035.6,
2020-12-06,0.8,7.9,78,975.76,
2020-12-07,2.6,10.7,84,884.49,
2020-12-08,2.0,11.0,72,850.07,
2020-12-09,0.1,10.7,75,892.37,
2020-12-10,1.2,14.1,91,888.97,
2020-12-11,0.1,14.4,95,885.56,
2020-12-12,0.0,15.3,77,840.63,
2020-12-13,0.0,12.2,91,840.8,
2020-12-14,1.4,15.2,89,895.23,
2020-12-15,0.0,13.7,76,868.07,
2020-12-16,1.0,14.4,78,882.27,
2020-12-17,0.4,14.6,79,815.13,
2020-12-18,0.0,11.4,94,876.95,
2020-12-19,8.8,9.3,97,1042.19,
2020-12-20,0.0,12.6,83,827.47,
2020-12-21,0.1,13.5,85,910.17,
2020-12-22,0.3,8.7,100,1000.0,
2020-12-23,0.0,14.4,83,801.06,
2020-12-24,0.4,13.3,88,830.72,
2020-12-25,0.0,9.2,65,926.16,Navidad
2020-12-26,0.0,7.5,63,963.01,
2020-12-27,1.8,10.2,64,821.68,
2020-12-28,0.6,10.8,71,878.77,
2020-12-29,,8.7,78,980.9,
2020-12-30,0.0,9.5,68,936.48,
2020-12-31,2.4,8.8,80,1074.28,AÃ±o Nuevo
2021-01-01,0.0,8.3,77,1010.33,AÃ±o Nuevo
2021-01-02,0.0,6.9,64,954.58,
2021-01-03,,8.0,61,940.45,
2021-01-04,,3.8,89,962.34,
2021-01-05,0.0,5.6,83,958.4,Cabalgata de Reyes Magos
2021-01-06,5.0,3.9,83,947.29,
2021-01-07,7.8,1.4,99,1054.14,
2021-01-08,26.6,1.6,100,1047.57,
2021-01-09,4.0,4.2,95,1009.67,
2021-01-10,0.0,5.5,87,935.33,
2021-01-11,0.0,5.0,73,994.2,
2021-01-12,0.0,7.4,68,950.12,
2021-01-13,0.0,9.9,69,928.38,
2021-01-14,0.0,11.8,65,760.99,
2021-01-15,0.0,9.7,74,939.08,
2021-01-16,0.0,12.5,65,792.93,San AntÃ³n
2021-01-17,0.0,14.4,60,809.12,San AntÃ³n
2021-01-18,0.0,11.5,70,831.09,
2021-01-19,,12.8,72,886.37,
2021-01-20,9.4,10.2,94,833.74,
2021-01-21,3.6,11.9,88,899.25,
2021-01-22,2.8,11.8,81,890.53,
2021-01-23,4.4,11.0,89,882.81,
2021-01-24,,12.1,78,826.74,
2021-01-25,2.0,13.6,94,885.46,
2021-01-26,0.6,15.1,95,893.34,
2021-01-27,0.2,18.5,86,922.85,
2021-01-28,0.0,18.1,86,872.94,
2021-01-29,0.2,20.4,72,829.17,
2021-01-30,0.6,13.8,74,875.91,
2021-01-31,0.6,12.2,91,906.61,
2021-02-01,0.0,13.5,82,863.16,
2021-02-02,0.0,14.2,80,862.4,
2021-02-03,0.0,16.3,72,852.63,
2021-02-04,0.0,16.1,77,843.64,
2021-02-05,3.0,17.3,76,884.04,
2021-02-06,1.0,10.5,88,902.26,
2021-02-07,4.4,11.1,83,911.89,
2021-02-08,2.2,11.2,87,897.3,
2021-02-09,7.6,11.9,89,857.71,
2021-02-10,0.8,14.7,73,886.99,
2021-02-11,0.6,16.2,86,877.63,
2021-02-12,0.0,15.5,72,823.57,
2021-02-13,0.0,16.6,65,805.91,
2021-02-14,0.0,16.4,69,811.5,
2021-02-15,0.0,16.2,74,835.08,
2021-02-16,0.0,18.4,64,799.03,
2021-02-17,0.0,20.5,60,731.11,
2021-02-18,0.0,19.1,52,801.27,
2021-02-19,0.0,21.1,53,773.16,
2021-02-20,0.0,20.6,49,721.3,
2021-02-21,6.4,12.3,83,894.36,
2021-02-22,0.0,13.1,66,799.5,
2021-02-23,0.0,15.4,70,772.06,
2021-02-24,0.0,19.0,65,826.04,
2021-02-25,0.0,15.5,72,809.4,
2021-02-26,0.0,18.2,71,852.92,
2021-02-27,0.0,17.3,65,837.45,
2021-02-28,1.6,15.8,67,816.51,
2021-03-01,0.0,15.2,75,780.27,Carnaval
2021-03-02,0.0,16.1,76,782.3,Carnaval
2021-03-03,0.0,15.8,79,775.01,Carnaval
2021-03-04,0.0,16.4,68,699.44,Carnaval
2021-03-05,0.0,15.5,71,747.16,Carnaval
2021-03-06,3.0,17.6,68,739.38,Carnaval
2021-03-07,5.6,12.8,89,770.68,Carnaval
2021-03-08,0.6,13.4,79,786.68,Carnaval
2021-03-09,0.0,12.9,76,738.81,Carnaval
2021-03-10,0.0,16.6,61,710.61,
2021-03-11,0.0,19.4,59,697.02,
2021-03-12,0.0,15.6,71,737.07,
2021-03-13,0.0,18.2,58,706.15,
2021-03-14,0.0,17.3,57,683.97,
2021-03-15,0.0,18.6,49,687.91,
2021-03-16,0.0,17.9,48,694.35,
2021-03-17,0.0,19.6,52,691.23,
2021-03-18,0.0,14.5,43,734.15,
2021-03-19,0.6,12.7,51,678.05,
2021-03-20,0.0,12.4,48,722.1,
2021-03-21,0.0,14.3,44,689.23,
2021-03-22,0.0,16.9,48,676.56,
2021-03-23,0.0,20.8,43,650.24,
2021-03-24,0.0,21.4,44,623.66,
2021-03-25,0.0,21.9,45,617.19,
2021-03-26,0.0,22.1,44,680.86,
2021-03-27,0.0,21.8,55,652.67,
2021-03-28,0.0,23.6,52,635.98,Semana Santa
2021-03-29,0.0,25.0,43,637.12,Semana Santa
2021-03-30,0.0,23.7,54,670.43,Semana Santa
2021-03-31,0.0,26.8,36,743.11,Semana Santa
2021-04-01,0.6,23.5,44,672.77,Semana Santa
2021-04-02,3.0,19.3,63,729.99,Semana Santa
2021-04-03,13.2,19.2,75,776.54,Semana Santa
2021-04-04,0.0,20.8,61,629.76,Semana Santa
2021-04-05,0.0,22.2,51,643.82,
2021-04-06,0.0,24.2,41,659.82,
2021-04-07,0.0,23.2,39,640.65,
2021-04-08,,19.9,63,711.51,
2021-04-09,0.0,19.6,58,717.63,
2021-04-10,7.6,19.8,72,780.64,
2021-04-11,0.6,19.0,72,776.15,
2021-04-12,0.0,18.8,61,670.47,
2021-04-13,,22.3,64,628.85,
2021-04-14,13.8,20.7,68,665.97,
2021-04-15,,15.4,73,746.1,
2021-04-16,0.0,19.4,60,758.05,
2021-04-17,0.0,18.1,40,714.03,
2021-04-18,0.0,19.3,37,736.42,
2021-04-19,0.0,21.5,49,646.79,
2021-04-20,0.0,20.0,53,653.46,
2021-04-21,6.2,17.6,63,757.22,
2021-04-22,0.8,19.3,78,773.99,
2021-04-23,0.0,21.1,65,646.07,
2021-04-24,2.8,18.0,81,797.63,
2021-04-25,11.2,13.9,91,774.46,
2021-04-26,,20.0,72,716.75,
2021-04-27,3.2,18.9,79,733.98,
2021-04-28,2.2,19.0,74,731.56,
2021-04-29,1.4,16.4,72,759.68,
2021-04-30,0.2,16.8,60,703.64,
2021-05-01,0.0,18.2,50,737.43,
2021-05-02,0.0,19.5,45,695.25,
2021-05-03,0.0,22.0,56,644.13,
2021-05-04,0.0,23.4,50,675.57,
2021-05-05,0.0,25.6,42,699.98,
2021-05-06,0.0,26.8,37,702.43,
2021-05-07,0.0,28.1,35,658.91,
2021-05-08,0.0,29.1,35,706.72,
2021-05-09,5.0,21.2,57,718.37,
2021-05-10,4.4,18.6,68,730.52,
2021-05-11,0.0,17.9,53,679.85,
2021-05-12,,19.7,56,712.75,
2021-05-13,0.0,22.6,55,634.03,
2021-05-14,0.0,24.1,48,641.86,
2021-05-15,0.0,27.6,41,698.05,
2021-05-16,0.0,27.0,52,697.47,
2021-05-17,0.0,28.1,43,656.5,
2021-05-18,0.0,28.9,34,688.71,
2021-05-19,0.0,29.3,32,660.48,
2021-05-20,0.0,30.9,39,781.83,
2021-05-21,0.0,30.5,26,858.31,
2021-05-22,0.2,26.2,28,763.54,
2021-05-23,0.6,20.5,57,679.95,
2021-05-24,0.0,24.3,40,654.83,
2021-05-25,0.0,29.1,32,692.3,
2021-05-26,0.0,29.3,42,725.13,
2021-05-27,0.0,27.9,42,665.13,
2021-05-28,0.0,28.6,40,713.79,
2021-05-29,0.0,31.8,37,813.1,
2021-05-30,0.0,33.8,31,828.84,
2021-05-31,0.0,32.0,34,822.08,
2021-06-01,0.0,26.9,43,772.54,
2021-06-02,0.0,30.1,33,879.48,
2021-06-03,0.0,31.5,26,917.72,Corpus Christi
2021-06-04,0.0,30.5,33,866.85,
2021-06-05,0.6,22.4,59,700.68,
2021-06-06,0.0,30.9,39,843.0,
2021-06-07,0.0,33.5,30,912.83,
2021-06-08,0.0,35.3,22,881.94,
2021-06-09,0.0,35.7,20,907.85,
2021-06-10,0.0,36.1,27,898.24,
2021-06-11,0.0,35.0,24,895.3,
2021-06-12,0.4,34.0,40,877.33,
2021-06-13,0.0,34.8,29,880.07,
2021-06-14,1.2,35.1,32,891.64,
2021-06-15,0.0,34.6,31,875.32,
2021-06-16,13.0,32.7,33,906.64,
2021-06-17,0.4,25.0,63,780.96,
2021-06-18,0.0,27.2,52,759.51,
2021-06-19,0.0,26.1,44,758.53,
2021-06-20,1.7,24.2,52,860.18,
2021-06-21,0.0,23.7,48,717.56,
2021-06-22,,26.6,48,757.82,
2021-06-23,0.0,28.1,39,773.18,
2021-06-24,0.0,32.0,40,848.94,
2021-06-25,0.0,34.6,36,912.54,
2021-06-26,0.0,34.0,30,868.26,
2021-06-27,0.0,32.5,24,905.96,
2021-06-28,0.0,30.0,26,828.0,
2021-06-29,0.0,32.3,22,859.31,
2021-06-30,0.0,35.2,23,905.64,
2021-07-01,0.0,35.6,19,918.12,
2021-07-02,0.0,35.6,17,922.76,
